longditude;laditude;oni_coefficient_minus_zero_lag
171.25;-78.75;-0.01000000000000000021
173.75;-78.75;0.04000000000000000083
176.25;-78.75;-0.02000000000000000042
178.75;-78.75;0.02999999999999999889
181.25;-78.75;0.01000000000000000021
183.75;-78.75;0.02999999999999999889
186.25;-78.75;0.02999999999999999889
188.75;-78.75;0.01000000000000000021
191.25;-78.75;0.000000000000000000
193.75;-78.75;0.000000000000000000
196.25;-78.75;0.000000000000000000
198.75;-78.75;-0.07000000000000000666
201.25;-78.75;-0.02999999999999999889
203.75;-78.75;-0.07000000000000000666
206.25;-78.75;-0.02999999999999999889
208.75;-78.75;-0.1000000000000000056
211.25;-78.75;-0.1100000000000000006
213.75;-78.75;-0.1100000000000000006
216.25;-78.75;-0.02000000000000000042
218.75;-78.75;-0.01000000000000000021
221.25;-78.75;0.01000000000000000021
223.75;-78.75;-0.1000000000000000056
226.25;-78.75;-0.1000000000000000056
228.75;-78.75;-0.08000000000000000167
231.25;-78.75;-0.07000000000000000666
233.75;-78.75;0.000000000000000000
236.25;-78.75;-0.08000000000000000167
238.75;-78.75;-0.01000000000000000021
241.25;-78.75;-0.01000000000000000021
243.75;-78.75;-0.02000000000000000042
246.25;-78.75;0.000000000000000000
248.75;-78.75;0.01000000000000000021
251.25;-78.75;0.02000000000000000042
253.75;-78.75;0.01000000000000000021
256.25;-78.75;0.000000000000000000
258.75;-78.75;0.000000000000000000
261.25;-78.75;0.000000000000000000
263.75;-78.75;-0.01000000000000000021
266.25;-78.75;-0.01000000000000000021
268.75;-78.75;-0.01000000000000000021
271.25;-78.75;-0.01000000000000000021
273.75;-78.75;-0.02999999999999999889
276.25;-78.75;-0.04000000000000000083
278.75;-78.75;-0.04000000000000000083
281.25;-78.75;-0.05999999999999999778
283.75;-78.75;-0.05000000000000000278
286.25;-78.75;-0.07000000000000000666
288.75;-78.75;-0.05999999999999999778
291.25;-78.75;-0.05999999999999999778
293.75;-78.75;-0.07000000000000000666
296.25;-78.75;-0.05000000000000000278
298.75;-78.75;-0.05000000000000000278
301.25;-78.75;-0.04000000000000000083
303.75;-78.75;-0.04000000000000000083
306.25;-78.75;-0.04000000000000000083
308.75;-78.75;-0.04000000000000000083
